name,IP,EA,Et,gap
7207305/,7.298609811,-1.794561803,2.086367755,2.26083334
2010287/,6.30012491,-0.594716142,1.801247563,1.47881646
7201463/,6.293295581,-1.142409808,1.800344643,1.98480629
4022625/,6.846093264,-1.327561053,1.960205412,1.77840415
4031943/,6.841099589,-1.077499377,1.958855061,1.72814287
4513313/,7.094634914,-0.463458636,2.033874769,2.37588939
2200184/,7.400444412,-0.917866434,2.122540753,2.25269558
7022129/,7.001252267,-1.099273245,2.009656535,2.18709501
1503543/,7.843561085,-1.158645321,2.252622534,2.28827391
1513940/,6.963307157,-1.592515375,2.000106887,1.90429768
2011526/,6.956698442,-0.546841313,2.002274556,2.32628038
4022055/,7.690158154,-1.474770696,2.215833422,2.26723534
2206111/,7.222915152,-0.983839644,2.083830123,2.04614924
7054007/,7.903874656,-1.727715891,2.283684378,2.0465515
2240781/,6.780758992,-1.363341599,1.959459844,2.07663622
7153433/,7.661516526,-1.205775731,2.214713589,2.33474634
1513088/,7.385508093,-1.399842857,2.135520386,2.30756209
4513320/,7.106913991,-0.456643979,2.055061245,2.39687037
2011365/,7.381092725,-1.854992197,2.134784301,1.86112232
2013103/,6.964837112,-1.144387986,2.015276977,2.20794694
7103100/,6.383137367,-0.478034876,1.847821332,2.13138265
1502081/,7.106329511,-0.839827471,2.057796966,2.17288839
4020674/,7.083699744,-1.317637595,2.053432633,2.33592399
4001142/,6.105837895,-1.265883398,1.770679461,1.92787098
4026719/,7.01706947,-1.400544194,2.036557269,2.06656572
2230218/,7.323070989,-0.109040378,2.125449328,2.31712053
7153775/,5.823474994,-0.54344988,1.691565413,1.60959201
7220122/,7.414916942,-0.902699235,2.153862611,2.26773463
1504777/,7.262134814,-1.154668167,2.1099325,2.29230121
7154613/,6.622157352,-1.136858237,1.926616292,2.01074604
2015485/,6.18337094,0.173175129,1.801382303,1.92235933
2234117/,7.718463475,-1.001070476,2.248626516,2.37803456
1503288/,6.217772967,-0.478452517,1.811673878,1.98053943
2215012/,8.477609722,-1.737435773,2.470526803,2.38634457
4030449/,7.524649487,-1.769036609,2.193437564,1.97252005
2205031/,7.244659962,-1.503167234,2.112465427,2.17999
1508822/,6.332384215,-1.159774284,1.846538592,2.08735016
7202468/,6.200271569,0.170573997,1.809284989,1.93035698
1505888/,7.71738951,-1.462950985,2.252542977,2.16046272
7150597/,6.82140575,-1.183477441,1.991242148,1.77595652
1506819/,7.295963588,-0.894339702,2.131231752,2.37269423
5000168/,7.121033827,-0.451338802,2.080811081,2.42346632
2009195/,6.155108741,-0.716304814,1.798738609,2.05237706
2005983/,7.499987612,-0.985711743,2.192258534,2.36267493
2222626/,7.429020384,-1.131815471,2.171846351,2.19114525
2007498/,7.030107134,-0.82210559,2.055450549,1.99545951
2015484/,6.179481594,0.186518837,1.807955032,1.92944956
2015486/,6.187959632,0.171615504,1.810612429,1.93172868
4026612/,7.006907828,-1.702739307,2.051065804,1.97569085
4024879/,7.392862313,-1.647766393,2.166649254,2.07214081
1503663/,7.151334982,-1.108636945,2.095913794,2.21005914
2014182/,7.539810064,-1.378570343,2.211188046,2.1556084
2011685/,7.028621833,-0.591242784,2.062345266,2.29661264
2209869/,6.276002765,-0.63262674,1.843747694,1.87851118
2225118/,8.509830272,-1.783280058,2.500175344,2.15322976
1507189/,6.504695353,-1.079311974,1.911308635,2.05259077
7112220/,7.598614665,-1.934400502,2.232780073,2.02054139
2234822/,7.133468828,-1.14273604,2.097805643,2.000223
7154658/,6.940988599,-1.244902331,2.041354273,2.19546999
4124307/,6.668208678,-1.091241781,1.96306039,2.2056344
4020911/,7.634203958,-1.443500602,2.247755985,2.30536525
4020910/,7.50085463,-1.270813964,2.21150655,2.36049912
4026484/,7.353437617,-1.081078016,2.168695842,2.35241871
2233231/,7.348134094,-1.145802776,2.1674345,2.17927951
2208529/,6.685624826,-1.546462051,1.972913357,1.89207732
4078409/,7.593221281,-1.666805228,2.241517312,1.64530728
2209388/,6.503683238,-0.705951382,1.921182622,1.95929964
1505595/,6.223201377,-0.851042651,1.838724017,2.07389326
2222597/,7.256906055,-1.119296223,2.144385057,2.08077851
2219028/,7.166389161,-1.353426909,2.11775103,2.22761743
2212111/,7.717951295,-0.558461721,2.281171431,2.09241767
2221705/,6.743958186,-0.457521016,1.993706112,1.84266269
2014906/,7.034196315,-0.94666912,2.079564076,2.17692889
1532510/,6.932577311,-1.213796789,2.049706353,2.23276339
8103570/,8.709308976,-0.285408413,2.578806749,2.50726163
4503461/,6.648854565,-1.531845376,1.971385609,2.11399132
2230970/,7.642155041,-0.980731695,2.266107361,2.44924623
7204119/,5.689042159,0.144037861,1.688850958,1.8052569
2203591/,6.69687136,-0.695489664,1.988701777,2.14357989
4028473/,6.693394825,-1.111207529,1.988268247,2.13193885
7033079/,6.440619127,-1.05403897,1.91393529,2.0119132
2013804/,8.212787488,-1.065204997,2.442856404,2.3937243
4030955/,6.989060944,-1.422650171,2.078943092,1.99325283
1513095/,6.115011274,-1.128029406,1.819948151,1.98580685
2209216/,7.13053867,-1.420721486,2.122363775,1.80893061
7152072/,7.684395855,-0.873624027,2.287314497,2.287024
2230118/,7.512104019,-1.677710332,2.24039628,2.06228865
2218701/,7.627095764,-1.055333453,2.275293893,2.2217825
2229717/,7.226476626,-1.515467773,2.156747813,2.10836812
